stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
55,0.5,2.0,56.88568690000102,,56.87090450001415,56.88568690000102,57.37019990000408,57.37019990000408,57.38788230001228,57.66954510001233,57.787639799993485,right,2.0,1,1,0.4096101999748498,059408,001,2024-09-09_13h20.40.102,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-09 13h20.49.937546 +0530,
56,0.5,2.0,57.803811600024346,,57.78776999999536,57.803811600024346,58.301917600037996,58.301917600037996,58.31934829999227,58.603154100012034,58.88801019999664,left,-2.0,1,1,0.5850873999879695,059408,001,2024-09-09_13h20.40.102,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-09 13h20.49.937546 +0530,
57,0.5,2.0,58.90226290002465,,58.88812030002009,58.90226290002465,59.38698429998476,59.38698429998476,59.4025836000219,59.685994800005574,59.837382400000934,right,2.0,1,1,0.43428569997195154,059408,001,2024-09-09_13h20.40.102,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-09 13h20.49.937546 +0530,
58,0.5,1.5,59.85204229998635,,59.83749890001491,59.85204229998635,60.33599980000872,60.33599980000872,60.3526400999981,60.63525130000198,60.953564000024926,right,1.5,1,1,0.6033668000018224,059408,001,2024-09-09_13h20.40.102,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-09 13h20.49.937546 +0530,
59,0.5,1.5,60.96837990003405,,60.953677400015295,60.96837990003405,61.46856569999363,61.46856569999363,61.46856569999363,61.769876300008036,61.93767120002303,left,-1.5,1,1,0.46757189999334514,059408,001,2024-09-09_13h20.40.102,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-09 13h20.49.937546 +0530,
60,0.5,1.5,61.951407000015024,,61.93780880002305,61.951407000015024,62.453204400022514,62.453204400022514,62.453204400022514,62.76902930001961,62.8369398000068,left,-1.5,1,1,0.3685844999854453,059408,001,2024-09-09_13h20.40.102,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-09 13h20.49.937546 +0530,
61,0.5,1.0,62.853288599988446,,62.8370715000201,62.853288599988446,63.35236329998588,63.35236329998588,63.36793300003046,63.65229530003853,63.870083899993915,left,-1.0,0,0,0.5158244000049308,059408,001,2024-09-09_13h20.40.102,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-09 13h20.49.937546 +0530,
62,0.5,1.5,63.88496659998782,,63.87020410003606,63.88496659998782,64.38503689999925,64.38503689999925,64.38503689999925,64.6846817000187,64.88775799999712,left,-1.5,1,1,0.4960942000034265,059408,001,2024-09-09_13h20.40.102,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-09 13h20.49.937546 +0530,
63,0.5,1.5,64.901561900042,,64.88800520001678,64.901561900042,65.40139020001516,65.40139020001516,65.40139020001516,65.70134590001544,65.86967169999843,right,1.5,1,1,0.4636229999596253,059408,001,2024-09-09_13h20.40.102,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-09 13h20.49.937546 +0530,
64,0.5,1.5,65.88372720003827,,65.86978340003407,65.88372720003827,66.38511810003547,66.38511810003547,66.38511810003547,66.68505700002424,66.95256830001017,left,-1.5,1,1,0.5585484999464825,059408,001,2024-09-09_13h20.40.102,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-09 13h20.49.937546 +0530,
